mean,max,p2p,std,rms
0.1041478587821671,0.72,1.108,0.08112446002473153,0.1246167666966247
0.10365130133307292,0.654,1.042,0.07951915125653507,0.12381151925175898
0.10503872259387664,0.623,0.94,0.08022026744543306,0.12524886033604965
0.10490014160847698,0.598,1.055,0.08082789199170816,0.12520001010931908
0.10477860247082377,0.623,1.0110000000000001,0.08203754040214699,0.12562079586877653
0.1052314566140925,0.564,0.996,0.08173142902738763,0.12599098366642225
0.10503125152595344,0.667,1.106,0.08131517332356446,0.12548035366625646
0.10477469603007958,0.603,0.984,0.08022976366057728,0.12507694726232224
0.10517222520630891,0.696,1.109,0.08080931746770965,0.12538639376578684
0.10438307534547586,0.625,1.104,0.08125024496268254,0.12482812422952629
0.10468308999462866,0.557,0.845,0.08104106786268427,0.12513770002277722
0.1041566971043508,0.557,0.913,0.08085518818870122,0.1248131344106548
0.10392235949020949,0.552,0.906,0.07993350325773672,0.12413851150065998
0.1042470335465599,0.623,1.043,0.07999451884968205,0.12445107972096132
0.10432755505639923,0.688,0.9709999999999999,0.08006047304155317,0.12467460180709855
0.10721783290199717,0.588,0.966,0.08581050773199451,0.12854680649108177
0.10568924263880071,0.613,1.05,0.0828321184948402,0.12662059638339934
0.10617954978270423,0.518,0.887,0.08397080243519046,0.12733610051459254
0.10475648225010986,0.645,0.9750000000000001,0.0831484033507216,0.12591936510374518
0.10531749597148299,0.601,0.8919999999999999,0.08215374958862577,0.12636230123496936
0.10549182088969186,0.615,0.9450000000000001,0.08311520318912126,0.1264429769008126
0.10625343034327847,0.574,0.9329999999999999,0.08409530871220726,0.12722138816074577
0.10526539381805752,0.591,0.972,0.08369085117117672,0.12629180303040857
0.10609648908638117,0.635,0.9650000000000001,0.08551452345490636,0.12775334070134725
0.10451701743249182,0.51,0.908,0.08395221214671361,0.1255880971082073
0.10488104887933981,0.623,0.984,0.08273628165182428,0.1258155482259613
0.10581224669173298,0.562,0.9550000000000001,0.08342861884100501,0.12674585859710433
0.10535831827725962,0.527,0.8220000000000001,0.08227992424194594,0.12589123328220794
0.10601372137311392,0.745,1.162,0.08493093998871562,0.12770672808762895
0.10600405293227208,0.574,0.8739999999999999,0.0831228793595128,0.12737871152286806
0.10523394697006688,0.605,0.883,0.08151516420713406,0.12579750031111753
0.10542126080375018,0.542,0.928,0.08289965385552855,0.12645137211297225
0.10603662288197667,0.623,1.014,0.08380450880064329,0.12699839223569212
0.105148005273695,0.728,1.077,0.08352501388542351,0.12617728775308124
0.10543913277015479,0.623,0.9530000000000001,0.08284171121685571,0.12633757737198956
0.10501367254260463,0.542,0.8520000000000001,0.08216074508790419,0.12577144477626642
0.10505884076370917,0.574,0.957,0.08213707914978902,0.1257198645792373
